VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,VCL_MODL,REPAIR_EXPENSES,ISSUE_CATEGORY,SOLUN_ACTN_CATEGORY
3HCFDDE89SH220903,13021,replaced steering wheel now okay,steering wheel coming apart,01-02-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Silverstone Motors,ST JOHNS,13-13992/309484,Apex Auto Sales,ST JOHNS,MI,1,488799101,6,"8,872",0-0310,T03.0354,US,13,FE9,FTB,130,FREG,370.03,370.03,61.46,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2210281MFTX0488,287827.0,S2210121CNJX0941,2808908219,6,N,CF10543,1500,21.0,0,1,"CF10543, 1500",431.48999999999995,Component Loose Fitting,Component Replaced
1HRFFEE8XSZ230636,13028,"checked - found dtc's u0229 - u1530 set in bcm. found pip5883j, verifi ed rpo options. tested per si - was inconclusive.testedperwiring sc hematic - all circuits tested ok. looks like faulty heated s-w module. ordered new module 9-26-23.1-2, replacedheated s-w module.",customer states heated steering wheel inop,01-03-2024,MODULE ASM-STRG WHL HT CONT,Heated Steering Wheel Module Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Elite Auto Group,FISHERS,13-14819/243038,SilverPeak Motors,GRAND RAPIDS,MN,1,557444215,5,"16,346",0-0310,T03.0354,US,48,FE9,FTB,2400,FREG,307.32,307.32,291.14,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2210291MFTX0188,17749294.0,R2210881CNJX0287,2808841910,6,Y,TF10543,1500,10.0,0,1,"TF10543, 1500",598.46,Component Loose Fitting,Component Replaced
1HYKSMRK6SZ000990,13035,"approved 4.9(olh) for added diagnostics with tcsc to figure out and co mplete programming while replacing the steering wheelassembly. rob w. 1-2-24 3-31pm olh for open tac case, contact tcsc case # 9-1156925877 4 multiple times and completed drive motorsoftware update programming . performed system check as per customers concern, steering wheel comi ng apart. contacted tac case#9-11503916151 "" please be aware if a dea ler receives a replacement super cruise steering wheel part number 850 13816. onceinstalled they will need to contact tcsc and request this below. applies to 2023 and 2024. order and replaced steering wheel, contacted tcsc many times and also get assistance from fse bill m. to co mpleted programming. per tcsc programmed drive motor controlmodule 1 wcc-fdyz196959052 prog, set up wcc-0syy196956992. after programming co mpleted performed a drive cycle and check steeringwheel operation, op erating normally at this time. mileage in 5522, mileage out 5532. char ge vehicle soon!!!",owner reports: the super cruise bar on the steering wheel is coming of f. check and advise. advisor running pra tool.,01-04-2024,WHEEL ASM-STRG *BACKEN BLACKK,Steering Wheel Replacement,BEV,4 Door Utility,L233-LSOP,SHT,US,CrossRoads Dealership,SAN DIEGO,11-46466/119152,Quantum Car Traders,SAN DIEGO,CA,1,921083521,9,"8,887",0-0310,T00.0006,US,12,YF5,FF6,130,FREG,2457.45,3205.45,1012.67,EN0,NONE,MF1,NONE,,,,,2809979441,4,Y,6MB26,Lux-1,10.0,0,1,"6MB26, Lux-1",4218.12,Component Loose Fitting,Repaired
3HCFDFEL3SH241701,13021,steering wheel replacement,customer states the lettering and finish on the steering wheel is coming off. plant: sil,01-04-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Westwood Wheels,MILWAUKEE,13-47099/113361,Summit Drive Auto,SLINGER,WI,1,530869027,10,"15,500",0-0890,T06.2375,US,13,FE9,FTB,130,FREG,445.28,445.28,63.18,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2210821MFYX0482,287827.0,S1210822CKJX0291,2808892288,6,Y,CF10543,1500,10.0,0,1,"CF10543, 1500",508.46,Component Loose Fitting,Component Replaced
1HRFFHEL1RZ181474,13021,replaced steering message no longer displayed,c/s: customer states the service driver assist system message is on. a dvise,01-05-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,LuxeAuto Sales,KELLOGG,11-47556/116725,Horizon Motors,LIBERTY LAKE,WA,1,990197623,0,8,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,1439.65,1439.65,136.0,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212994MGPX0790,17749294.0,R2212982CKJX0282,2808901882,8,N,TF10543,1500,10.0,0,1,"TF10543, 1500",1575.65,Other,Component Replaced
3HRFFHED7RH167541,13026,remove and replace steering wheel wire harness,horn and steering wheel switches are inoperable,01-05-2024,HARNESS ASM-STRG WHL HORN SW WRG,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,Horizon Motors,OMAHA,13-05637/165732,Prestige Wheels,COLUMBUS,NE,1,686012808,0,14,0-0890,T05.3330,US,48,FE9,FTB,20,FREG,216.75,216.75,139.84,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",812040194,A2212084MGSX0089,287827.0,S2212992CKJX2842,2809498122,6,N,TF10543,1500,16.0,0,1,"TF10543, 1500",356.59000000000003,Component Loose Fitting,Component Replaced
1HRFFHEL4RZ149960,13071,"accessed, removed and replaced the drivers assistance systems module. accessed the diagnosticportandreprogrammedthesystemcalibration using the mdi-2 with a warranty claim programming code of fdyz197418154. road testedthevehicletoverifyrepairs. thesystem is now operating as designed.",cust. states drivers assist light comes on dash -super cruise/lane departure works intermittently-was diag. forasteeringwheelmodule.,01-05-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Apex Vehicle Sales,SMITHTOWN,13-02278/273131,UrbanEdge Auto,BAY SHORE,NY,1,117061211,2,856,0-0621,T06.2375,US,48,NE1,FUC,130,FREG,1488.94,1488.94,150.03,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212914MGPX0299,17749294.0,R2212922CKJX0928,2809208122,24,Y,TF10543,1500,10.0,0,1,"TF10543, 1500",1638.97,Failure,Component Replaced
3HCFDFED4SH352945,13021,replaced steering wheel,special order part [ steering wheel heated steering wheel not working ],01-05-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,SIL,MX,Diamond Drive,SAINT CLAIRSVILLE,13-13858/113450,Diamond Auto Traders,SAINT CLAIRSVILLE,OH,1,439508512,3,"4,065",0-0310,T05.3386,US,13,NE1,FUC,130,FREG,427.08,427.08,57.61,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",812040194,A2212881MF1X2422,287827.0,S1212982CKJX2188,2808882287,4,N,CF10543,1500,15.0,0,1,"CF10543, 1500",484.69,Failure,Component Replaced
1HRF9CED6NZ221061,13021,technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,customer states steering wheel is making a rubbing noise when turing the wheel left and right,01-08-2024,N/A,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,Summit Auto Traders,MADISON,13-28387/166196,Legacy Car Sales,MADISON,OH,1,440572570,21,"31,611",0-0313,T05.3386,US,48,FE9,FTB,50,FREG,27.69,27.69,27.69,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",2127157,T1220882JW9X2294,17749294.0,R2220422XKJX0272,2808998129,2,N,TF18543,1500,16.0,0,1,"TF18543, 1500",55.38,Component Loose Fitting,Repaired
1HRFFHEL8RZ133325,13074,steering wheel replacement,customer states that they are getting a message on the dash saying driver assist message. check and advise,01-09-2024,WHEEL ASM-STRG *VERY DARK AT,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,FTW,US,TrueValue Motors,BELLEVILLE,11-40119/299131,PrimeDrive Motors,BELLEVILLE,IL,1,622263101,4,"8,304",0-0621,T06.2375,US,48,FE9,FTB,130,FREG,1147.09,1147.09,146.06,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",830107152,N2212294MGPX0128,17749294.0,R2212112CKJX2084,2821988724,4,Y,TF10543,1500,10.0,1,1,"TF10543, 1500",1293.1499999999999,Other,Component Replaced
1HCFDHE86SZ274242,13023,"gained access and removed old steering wheel after disconnecting battery negative. installed new steering wheel, applied loctite tobolt that retains steering wheel. tighted bolt. re installed air bag, re installed trim. re connected battery, checked for anyprotruding from steering wheel molding, all ok now gm authorization# 490759800000",c/s: removed steering wheel to gain access to back side of steering wheel where trim is that is protruding and replaced trim andstill is pretruding. issue is in steering wheel assembly reference ro# 82289 -- gm authorization# 490759800000,01-09-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,BlueSky Autos,PALMYRA,13-15377/118088,Platinum Wheels,PALMYRA,PA,1,170781909,8,"6,204",0-0890,T03.0354,US,13,NE1,FUB,130,FREG,476.16,457.225,63.99,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2212221MFTX0298,17749294.0,R2212281CNJX0022,2809222210,6,N,CF10543,1500,10.0,0,1,"CF10543, 1500",521.215,Component Loose Fitting,Repaired
1HYKNDRS3MZ177921,13027,tech replaced steering wheel to correct pra 487188600000,c/s: customer states there is a piece of the steering wheel sticking up. sop part is in,01-10-2024,WHEEL ASM-STRG *DARK TITANIU,Steering Wheel Replacement,Global Crossover Vehicles,4 Door Utility,C1UL,SHT,US,Quantum Auto Sales,DAYTON,12-20769/119037,Redline Auto Co.,CINCINNATI,OH,1,452426498,35,"70,354",0-0310,T03.6151,US,12,FE9,FTB,130,FREG,322.13,322.13,53.46,LGX,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2",M3W,"TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",37749264,W2220292JDPX0477,822972980.0,21220220KKBP0881,2809492824,4,Y,6NH26,Premium Luxury,37.0,0,1,"6NH26, Premium Luxury",375.59,Component Loose Fitting,Component Replaced
